customer_city,customer_state,geolocation_lat,geolocation_lng,total_orders,total_sales
agrolandia,SC,-27.408262067680948,-49.83008266701338,1,49.9
agronomica,SC,-27.268552042340637,-49.71196936466438,2,204.87
agua boa,MT,-14.062202729797056,-52.20445915381337,18,2758.87
agua branca,AL,-9.262055423096342,-37.9351265832074,1,63.8
agua branca,PB,-7.515394976776802,-37.6398493782455,2,204.99
agua branca,PI,-5.892094582220355,-42.63402816965759,2,132.9
agua clara,MS,-20.441149398605198,-52.87735307459614,2,219.89000000000001
agua comprida,MG,-20.057791817035962,-48.10811794228084,2,106.9
agua doce,SC,-26.997866134854164,-51.555019682742255,1,289.98
agua doce do norte,ES,-18.543085190055944,-40.98497675246625,4,365.48
agua fria de goias,GO,-14.974495376227203,-47.784387063729895,1,152.0
agua limpa,GO,-18.076322394559124,-48.76160432422692,1,388.0
agua nova,RN,-6.205206243591784,-38.291460507110884,1,42.0
agua preta,PE,-8.7061366938173,-35.5172329639589,1,129.99
agua santa,RS,-28.183372036296035,-52.03985047911124,2,163.9
aguai,SP,-22.056968661722404,-46.97611915060669,9,1985.55
aguas belas,PE,-9.108812539014634,-37.117020266836576,6,769.87
aguas claras,RS,-28.00030351378292,-49.17546213298624,1,95.8
aguas da prata,SP,-21.94008777133928,-46.71391248489887,10,1028.28
aguas de lindoia,SP,-22.477153463969263,-46.61937324894832,22,3092.59
aguas de santa barbara,SP,-22.87741215304781,-49.24013875938814,3,154.9
aguas de sao pedro,SP,-22.60248155257249,-47.871430213488246,2,274.99
aguas formosas,MG,-17.082201270979507,-40.93919981216429,5,1341.7
aguas frias,SC,-26.88121528807032,-52.86017603229269,1,290.0
aguas lindas de goias,GO,-15.776850802007587,-48.29255866527875,1,39.9
aguas lindas de goias,GO,-15.741381154383637,-48.29804302156555,2,263.9
aguas lindas de goias,GO,-15.740320384456693,-48.24427883289689,2,279.23
aguas lindas de goias,GO,-15.728157848258732,-48.27733017756257,3,244.98000000000002
aguas lindas de goias,GO,-15.724556332548568,-48.27713946249921,3,198.95
aguas lindas de goias,GO,-15.720627959496907,-48.28619342858036,4,184.87
aguas lindas de goias,GO,-15.716847041714027,-48.2692836494524,2,224.28
aguas lindas de goias,GO,-15.709671805093233,-48.27256088814878,1,49.0
aguas lindas de goias,GO,-15.693992316278171,-48.266542467417196,1,150.0
aguas lindas de goias,GO,-15.64177057336313,-48.223117726435184,5,584.8
aguas mornas,SC,-27.70103345965437,-48.83820955993601,1,89.15
aguas vermelhas,MG,-15.655366965060017,-41.48139622024671,3,574.58
agudo,RS,-29.643273595312962,-53.2459255611156,1,17.0
agudos,SP,-22.471037318568527,-48.986214759233874,16,1265.3
aguia branca,ES,-18.985716113277793,-40.74227057364542,1,12.9
aimores,MG,-19.500415267687412,-41.07286145044401,10,951.37
aiuaba,CE,-6.583338622041794,-40.13887446818398,1,109.7
aiuruoca,MG,-21.978848424131765,-44.60576945448214,4,281.09000000000003
ajapi,SP,-22.411489567314835,-47.57096343796528,1,108.0
ajuricaba,RS,-28.23771966641463,-53.76337497269791,2,191.9
alagoa,MG,-22.171830593467934,-44.642598725792546,1,77.68
alagoa grande,PB,-7.041755696576409,-35.63219332049747,1,139.99
alagoa nova,PB,-7.06196902730586,-35.76440866320551,1,113.0
alagoinha,PB,-6.949275120162892,-35.54543763599661,2,269.9
alagoinhas,BA,-12.151220485681826,-38.42777608689418,1,99.8
alagoinhas,BA,-12.14697128182713,-38.421092263472346,3,568.99
alagoinhas,BA,-12.14532103646933,-38.42108609199768,2,339.97
alagoinhas,BA,-12.14140291854209,-38.4382474234235,1,270.0
alagoinhas,BA,-12.140210286962752,-38.42230450413786,9,1481.83
alagoinhas,BA,-12.137491425515499,-38.405186381258325,8,1304.68
alagoinhas,BA,-12.134181983131246,-38.43881903180552,2,637.98
alagoinhas,BA,-12.132605820412072,-38.41556019458922,6,469.09000000000003
alagoinhas,BA,-12.132390116921444,-38.421471353180394,3,550.89
alagoinhas,BA,-12.131260630771392,-38.439509689304856,1,88.0
alagoinhas,BA,-12.130623972687959,-38.43377029796657,2,243.0
alagoinhas,BA,-12.12350410816645,-38.4165670067676,2,195.0
alambari,SP,-23.56157106605844,-47.88510054852834,3,179.88
alcantara,MA,-2.392514845980913,-44.45394150447368,1,424.8
alcinopolis,MS,-18.325810509057312,-53.71035488253891,6,711.1600000000001
alcobaca,BA,-17.49780399812736,-39.26235288962636,4,1289.78
alegre,ES,-20.760206303395872,-41.53516276114848,17,2884.07
alegrete,RS,-29.80430966729465,-55.804742048802446,1,129.99
alegrete,RS,-29.80060787528852,-55.75366749977423,4,250.78
alegrete,RS,-29.796549082988218,-55.803997941479714,6,471.73
alegrete,RS,-29.791737201933227,-55.80695207023462,2,60.85
alegrete,RS,-29.791344148839773,-55.7680875012187,2,463.9
alegrete,RS,-29.784433749766997,-55.79219384385998,10,1997.61
alegrete,RS,-29.78072314714335,-55.79044638233173,10,1108.9099999999999
alegrete do piaui,PI,-7.241636248140669,-40.84802329456374,1,149.9
alegria,RS,-27.80837589440083,-54.04533603585983,1,39.9
alem paraiba,MG,-21.872728278244768,-42.693795195399666,28,2870.56
alexandra,PR,-25.5534229350904,-48.62752422974045,1,31.9
alexandria,RN,-6.413355657069214,-38.013967260122904,2,159.8
alexandrita,MG,-19.70290819846817,-50.41424707469225,1,99.8
alexania,GO,-16.08407742651032,-48.506772764634135,5,466.67
alfenas,MG,-21.437775130105926,-45.95221490738956,5,667.69
alfenas,MG,-21.436458502662212,-45.9424215666751,2,187.13
alfenas,MG,-21.428798799103614,-45.96596325947664,1,42.9
alfenas,MG,-21.427358969698194,-45.946512565312595,14,1626.38
alfenas,MG,-21.42217278248631,-45.96434436535584,4,608.9000000000001
alfenas,MG,-21.418495092445863,-45.9623134679283,6,866.76
alfenas,MG,-21.41064841911369,-45.948697090632834,11,1350.56
alfredo chaves,ES,-20.627031870241968,-40.74931056937235,7,902.71
alfredo marcondes,SP,-21.954288886597627,-51.41615439159179,1,129.0
alfredo vasconcelos,MG,-21.149443547778596,-43.767193356103036,3,567.99
alfredo wagner,SC,-27.70013863320932,-49.33157442341497,2,794.8
alhandra,PB,-7.433968779567003,-34.910447698646784,2,1037.0
alianca,PE,-7.595135239949158,-35.22282840826383,1,64.99
alianca do tocantins,TO,-11.305018450553813,-48.937210314892596,2,162.79
almas,TO,-11.567892561876574,-47.16831043399929,1,78.0
almenara,MG,-16.176287602159036,-40.69302960684199,14,2872.1499999999996
almino afonso,RN,-6.155247530745038,-37.76818300221504,1,299.9
almirante tamandare,PR,-25.373890211950254,-49.307921824696635,5,666.7
almirante tamandare,PR,-25.349185202673297,-49.30093726773038,2,306.96000000000004
almirante tamandare,PR,-25.342888102003744,-49.249924981628936,3,189.4
almirante tamandare,PR,-25.3427927223759,-49.27371725023371,2,104.8
almirante tamandare,PR,-25.3418094415625,-49.29556761319491,5,437.87
almirante tamandare,PR,-25.33398837590577,-49.26579300674164,4,323.19
almirante tamandare,PR,-25.330327586838592,-49.276371361501305,2,129.9
almirante tamandare,PR,-25.31789810713255,-49.27838207234502,1,31.9
almirante tamandare,PR,-25.316804675791442,-49.30787113328793,2,194.34
almirante tamandare,PR,-25.312880860427626,-49.29186432419761,9,1870.6299999999999
almirante tamandare do sul,RS,-28.11563383443064,-52.91491693557196,1,49.9
alpercata,MG,-18.978826415455085,-41.97968305588025,2,228.8
alpestre,RS,-27.25035234287266,-53.03555485473069,1,118.9
alpinopolis,MG,-20.858669988986815,-46.3868959952482,7,836.6800000000001
alta floresta,MT,-9.90209628377088,-56.14798246464171,12,3495.55
alta floresta d'oeste,RO,-11.944583970748216,-61.998825362568496,3,669.89
altamira,PA,-3.2169210873579974,-52.221921540281016,5,994.69
altamira,PA,-3.213759042338911,-52.22673605545973,1,115.99
altamira,PA,-3.2081886631315584,-52.21394603392211,12,2375.2
altamira,PA,-3.2058907554215548,-52.2239391479931,2,847.99
altamira,PA,-3.201371029207189,-52.19492732679862,2,247.3
altamira,PA,-3.1956772171548518,-52.21765295723387,2,236.99
altamira,PA,-3.194258395409129,-52.20684791300875,1,349.99
altamira do parana,PR,-24.799390826555005,-52.71544878175329,2,259.1
altaneira,CE,-6.999919634947142,-39.739299453186206,2,369.6
alterosa,MG,-21.255833645504303,-46.14487857042153,3,252.3
altinho,PE,-8.488189811112091,-36.06023398040497,1,13.9
altinopolis,SP,-21.02118500746342,-47.37739709707741,4,1428.8
alto alegre,PR,-22.89738838719939,-51.888509653563055,2,167.99
alto alegre,RS,-28.780864912250042,-52.989186791718815,1,139.9
alto alegre do iguacu,PR,-23.542811279858867,-52.28910357547104,2,74.69999999999999
alto alegre do maranhao,MA,-4.214134911794691,-44.44951278413494,1,88.9
alto alegre do pindare,MA,-3.724104406992829,-45.8639974185921,1,199.0
alto araguaia,MT,-17.31726008132973,-53.223327746417894,5,1085.73
alto boa vista,MT,-11.679428518842508,-51.37675429719136,5,418.0
alto caparao,MG,-20.444053497570113,-41.870324125615916,2,478.9
alto do rodrigues,RN,-5.294882466955311,-36.75812276543539,8,2737.46
alto garcas,MT,-16.946129151708696,-53.53109550892496,2,258.8
alto horizonte,GO,-14.194380211559102,-49.34015563206796,2,233.91
alto jequitiba,MG,-20.426509214614725,-41.96422219554987,3,211.89
alto paraiso,PR,-23.506786676066692,-53.72913819903985,1,56.99
alto paraiso,RO,-9.718738593907439,-63.32493531852187,1,1200.0
alto paraiso de goias,GO,-14.139317335379074,-47.51689810696474,9,1367.34
alto parana,PR,-23.130349004567282,-52.32030487158121,2,389.9
alto parnaiba,MA,-9.123470479520625,-45.94508688654757,5,777.79
alto piquiri,PR,-24.032267622640834,-53.43985746757152,1,412.0
alto rio doce,MG,-21.023159198844187,-43.41263491879728,4,213.42
alto rio novo,ES,-19.05822235499108,-41.01879814974316,2,266.5
alto santo,CE,-5.519712483344855,-38.26737385532684,3,622.89
alto taquari,MT,-17.831339487997212,-53.28242914765827,3,750.88
altonia,PR,-23.872113354531503,-53.89365493932053,3,494.9
altos,PI,-5.037933605097157,-42.45957464672137,5,1345.39
aluminio,SP,-23.523865508829502,-47.2566134724933,13,1252.15
alvarenga,MG,-19.417557882438132,-41.72756415518321,2,211.0
alvares florence,SP,-20.32133154751638,-49.90855487631705,2,185.76
alvares machado,SP,-22.07699368740586,-51.46756282500047,8,4022.57
alvaro de carvalho,SP,-22.082489832465455,-49.71827152171474,2,358.0
alvinopolis,MG,-20.10947269579902,-43.06361511147883,11,807.06
alvorada,RS,-30.042937059230738,-51.065009759823596,2,191.99
alvorada,RS,-30.039381614040515,-51.05661137540924,3,238.9
alvorada,RS,-30.03217996488206,-51.08217997757147,5,540.46
alvorada,RS,-30.021392632608613,-51.061249241300075,3,372.15
alvorada,RS,-30.02035002258635,-51.07946137103184,7,870.6
alvorada,RS,-30.016757116006893,-51.047992023381646,1,69.9
alvorada,RS,-30.007741653601478,-51.049365114845536,3,249.86
alvorada,RS,-30.006489300919636,-51.07951429592405,3,238.89
alvorada,RS,-30.004385603413855,-51.05439844391614,5,557.63
alvorada,RS,-30.00383653949312,-51.072956447041896,2,213.3
alvorada,RS,-29.9930707854867,-51.04546382051669,2,228.89
alvorada,RS,-29.9928639487548,-51.059011975307186,3,443.88
alvorada,RS,-29.991651370229434,-51.08151068242755,7,1301.86
alvorada,RS,-29.991573794204278,-51.07314325904212,2,394.62
alvorada,RS,-29.991162603853095,-51.01874926148034,2,294.8
alvorada,TO,-12.478669410006965,-49.122904845770265,6,1494.47
alvorada d'oeste,RO,-11.349470744463781,-62.2869731930518,1,359.98
alvorada do gurgueia,PI,-8.45259799999995,-43.94154833333329,1,37.0
alvorada do norte,GO,-14.485339149785249,-46.506223797764335,3,164.88
amambai,MS,-23.091896511618213,-55.22776222689038,6,751.98
amanari,CE,-3.504514941264218,-39.57289793990247,1,390.0
amapa do maranhao,MA,-1.6740152531915955,-46.01075156612798,1,15.9
amapora,PR,-23.094997161855197,-52.78673515900602,2,129.9
amaraji,PE,-8.376909914843816,-35.451891714402564,2,476.89
amarante,PI,-6.242804734400218,-42.853531041069,1,760.0
amargosa,BA,-13.027915958035509,-39.60169104219675,1,54.99
amelia rodrigues,BA,-12.401074390408349,-38.75449544203782,3,372.39
america dourada,BA,-11.45534706517941,-41.45792194795551,1,169.9
americana,SP,-22.769601469495434,-47.339790488872616,28,2678.15
americana,SP,-22.758026433771725,-47.2869273225229,5,771.41
americana,SP,-22.754937621777128,-47.34940396715031,27,2406.4
americana,SP,-22.75345124407542,-47.32701632231296,18,1388.92
americana,SP,-22.74373907712192,-47.33699738819053,20,2749.3
americana,SP,-22.7436469198625,-47.31203571315088,28,3395.2200000000003
americana,SP,-22.74294782078503,-47.24223035710892,4,444.9
americana,SP,-22.73738877505413,-47.30046810994614,4,472.03
americana,SP,-22.729530227308835,-47.35620012960916,11,1700.03
americana,SP,-22.726194334553124,-47.337254625787715,9,953.5
americana,SP,-22.72595185576499,-47.3164545822884,15,2508.58
americana,SP,-22.72062533010144,-47.307236879847224,17,1322.22
americana,SP,-22.720384808067173,-47.2784470613849,5,737.64
americana,SP,-22.71737712510739,-47.3546265821342,15,1904.5900000000001
americana,SP,-22.705059493303754,-47.2942847510832,10,1029.29
americano do brasil,GO,-16.25358822328803,-49.981568965848076,3,291.49
americo brasiliense,SP,-21.733215089379517,-48.1099398816381,17,2360.1
americo de campos,SP,-20.299358944929477,-49.73264497409821,1,279.9
ametista do sul,RS,-27.365846704987625,-53.178636499482884,2,242.8
amontada,CE,-3.3654681773745936,-39.83000034505478,1,45.9
amparo,SP,-22.721605279768422,-46.844150475904215,1,79.0
amparo,SP,-22.716115971598075,-46.778039302430166,9,2170.76
amparo,SP,-22.71386092511667,-46.76612661301402,5,1641.81
amparo,SP,-22.710900736908858,-46.80139536275989,27,3699.15
amparo,SP,-22.704024500994922,-46.75225411609291,4,349.77
amparo,SP,-22.703127966651635,-46.766321367772875,9,2322.4
amparo,SP,-22.700250708178448,-46.77331904709085,7,907.84
amparo,SP,-22.697794442961207,-46.72140143614964,1,225.0
amparo da serra,MG,-20.50873879690439,-42.80091590525793,1,49.95
ampere,PR,-25.91985831671865,-53.47434392960834,8,1595.27
anadia,AL,-9.684047221479462,-36.30329345457926,2,379.89
anage,BA,-14.611360791492,-41.13638283709852,1,63.8
analandia,SP,-22.12448307795461,-47.66233977037924,4,511.03
ananas,TO,-6.3691057628978305,-48.0732415223337,1,96.8
ananindeua,PA,-1.3899704480674155,-48.41140384238624,3,729.7
ananindeua,PA,-1.3881076251506195,-48.40910367226116,1,219.9
ananindeua,PA,-1.383956245789021,-48.40085962451576,2,1298.99
ananindeua,PA,-1.3800693425525121,-48.4155685112378,5,808.61
ananindeua,PA,-1.379322690075063,-48.38695563031493,3,356.0
ananindeua,PA,-1.3729866826398887,-48.37342724162104,4,577.88
ananindeua,PA,-1.3728254198129237,-48.4189487717972,3,725.17
ananindeua,PA,-1.3656248850543076,-48.38423467401917,8,1220.97
ananindeua,PA,-1.365623483493968,-48.404661798836536,9,1821.23
ananindeua,PA,-1.364773502126899,-48.39522558095571,3,178.5
ananindeua,PA,-1.364000311069558,-48.41415064143284,2,97.80000000000001
ananindeua,PA,-1.3607272834138184,-48.39092888914455,1,49.0
ananindeua,PA,-1.3591901571287894,-48.402328278264214,17,2244.87
ananindeua,PA,-1.353798777363931,-48.39245051533584,5,2680.63
ananindeua,PA,-1.35169068824456,-48.418610871369594,5,1683.38
ananindeua,PA,-1.3510618567702595,-48.384592118843095,3,534.89
ananindeua,PA,-1.3509015539844658,-48.39273384174923,1,128.56
ananindeua,PA,-1.3482592427561906,-48.40148710765368,7,1994.58
ananindeua,PA,-1.3390163245148177,-48.40574143859755,2,158.79000000000002
anapolis,GO,-16.39106444355094,-48.982925547994185,1,84.99
anapolis,GO,-16.386384059853633,-48.92904117384706,1,89.9
anapolis,GO,-16.38616771188452,-48.98072723616635,3,41.79
anapolis,GO,-16.381321246349216,-48.957756331677594,2,508.9
anapolis,GO,-16.37392231559416,-48.97419747856997,2,147.9
anapolis,GO,-16.369022278877495,-48.966672043111615,3,263.8
anapolis,GO,-16.366618931522964,-48.949528433535946,1,349.9
anapolis,GO,-16.363777942020416,-48.940812976311264,2,239.89000000000001
anapolis,GO,-16.35733187865407,-48.98245036597762,2,107.69
anapolis,GO,-16.355254458210943,-48.912581337765324,1,59.99
anapolis,GO,-16.353365825680722,-48.95402610633243,1,130.0
anapolis,GO,-16.34935519327304,-48.95546714694175,2,159.89000000000001
anapolis,GO,-16.34665129567618,-48.97310645617748,1,34.99
anapolis,GO,-16.343894962262315,-48.94562619577132,5,731.1700000000001
anapolis,GO,-16.34225887833526,-48.961587956147625,2,1093.9
anapolis,GO,-16.3411061442781,-48.937740850721205,2,190.89
anapolis,GO,-16.33838812658643,-48.92120105676616,4,271.98
anapolis,GO,-16.337586497699323,-48.95348845379074,1,249.0
anapolis,GO,-16.33581114196862,-48.972483792490635,2,569.92
anapolis,GO,-16.334040638552924,-48.95998244182967,2,284.99
anapolis,GO,-16.33320358612409,-48.93962957040374,12,3342.33
anapolis,GO,-16.33167341299556,-48.96720589145756,1,219.9
anapolis,GO,-16.32816846320203,-48.959207644116844,1,55.9
anapolis,GO,-16.327954380320946,-48.988554494554165,1,253.52
anapolis,GO,-16.32764458440344,-48.92860894518046,3,418.99
anapolis,GO,-16.326567467398455,-48.94157776675531,9,1154.55
anapolis,GO,-16.326158044681016,-48.95866736302757,1,115.0
anapolis,GO,-16.32462339867661,-48.952675162388054,1,80.94
anapolis,GO,-16.32147714294326,-48.930402796316216,4,642.3199999999999
anapolis,GO,-16.3210194600368,-48.96585329472612,1,122.99
anapolis,GO,-16.319566276006498,-48.91679375129968,1,91.8
anapolis,GO,-16.31893998751649,-48.945939494349034,4,593.78
anapolis,GO,-16.311214568291046,-48.94911330929502,2,505.0
anapolis,GO,-16.310764034708626,-48.93860985202588,2,115.4
anapolis,GO,-16.304343252405236,-48.94689902679983,3,80.89
anapolis,GO,-16.302667973468598,-48.93864596885983,3,244.86
anapolis,GO,-16.302479647142366,-48.95954361428613,6,1610.69
anapolis,GO,-16.28973171829413,-48.96914480380732,5,588.78
anapolis,GO,-16.287848576124805,-48.95670150614631,2,164.9
anapolis,GO,-16.283910268521197,-48.96467169251577,1,139.9
anapolis,GO,-16.28074007144806,-48.94477176465139,3,524.68
anapolis,GO,-16.278339866218843,-48.92872114143407,2,98.99000000000001
anapolis,GO,-16.277983274801578,-48.93513263251339,1,159.49
anapolis,GO,-16.270335492336965,-48.97669068217251,2,192.8
anastacio,MS,-20.492942856955928,-55.8021613612429,2,116.9
anaurilandia,MS,-22.183762002558534,-52.71823908697343,1,69.99
anchieta,ES,-20.800378086859887,-40.648849815509344,14,1983.8
anchieta,SC,-26.53662393358684,-53.33140901036454,3,302.70000000000005
andarai,BA,-12.787871113669794,-41.291232096591294,1,79.9
andira,PR,-23.04826806621512,-50.2306200176987,11,1462.18
andorinha,BA,-10.344702161161972,-39.83061876266924,5,691.1
andradas,MG,-22.07047143353818,-46.57354819165932,12,4070.31
andradina,SP,-20.90546920360634,-51.3816272285432,14,2293.17
andradina,SP,-20.905309694014125,-51.35871182039753,2,158.99
andradina,SP,-20.901325442673635,-51.395102580846526,1,150.0
andradina,SP,-20.894498796276807,-51.37393891769426,23,3700.37
andre da rocha,RS,-28.632841075906104,-51.57346986434233,1,119.0
andrelandia,MG,-21.739749890361267,-44.31003568552107,3,119.36
andrequice,MG,-18.25622999999996,-45.06661999999994,1,199.0
angatuba,SP,-23.495630988076112,-48.40720315622438,8,818.75
angelica,MS,-22.155563376147217,-53.77800467267233,1,53.9
angelina,SC,-27.58206007230407,-48.98438664013937,1,126.99
angical,BA,-12.006384427285656,-44.698162626990054,1,269.9
angical do piaui,PI,-6.079023820168208,-42.736124286027476,1,29.99
angicos,RN,-5.66603171630403,-36.60327364407801,1,65.99
angra dos reis,RJ,-23.033776516662837,-44.179425681179026,1,209.0
angra dos reis,RJ,-23.017119909364308,-44.52777928392437,9,4220.67
angra dos reis,RJ,-23.016652403662434,-44.34328334169126,2,364.0
angra dos reis,RJ,-23.015647011828968,-44.22147988194894,3,247.13
angra dos reis,RJ,-23.012719917722833,-44.53711953004649,5,2810.1800000000003
angra dos reis,RJ,-23.01194226332376,-44.27937630173947,1,19.7
angra dos reis,RJ,-23.008407848206094,-44.52042943779228,2,49.46
angra dos reis,RJ,-23.007750921116795,-44.316365798269004,7,1871.31
angra dos reis,RJ,-23.006181543618464,-44.30249060061675,1,120.0
angra dos reis,RJ,-23.005481738341025,-44.32846877727538,1,44.6
angra dos reis,RJ,-23.00366266722437,-44.43273919732221,1,185.99
angra dos reis,RJ,-23.003258607853137,-44.31169863683368,2,164.48
angra dos reis,RJ,-22.998972337423897,-44.305293524341295,8,593.78
angra dos reis,RJ,-22.995835015668575,-44.269199129363045,1,279.99
angra dos reis,RJ,-22.993717586511426,-44.23784751419985,11,2030.08
angra dos reis,RJ,-22.990363024010797,-44.247140598280055,1,180.0
angra dos reis,RJ,-22.981301197363237,-44.30340164923547,1,329.34000000000003
angra dos reis,RJ,-22.979654619727746,-44.300072618668366,4,556.98
angra dos reis,RJ,-22.975067710670686,-44.30433144181616,5,771.1800000000001
angra dos reis,RJ,-22.97331934160024,-44.292940959038646,1,1399.99
angra dos reis,RJ,-22.96892996702177,-44.440011355261674,6,859.7
angra dos reis,RJ,-22.965890276635704,-44.33941389878064,1,109.9
angra dos reis,RJ,-22.960010215505797,-44.28652433060667,3,702.98
angra dos reis,RJ,-22.949319889938874,-44.324088893714,4,235.8
angra dos reis,RJ,-22.94273300250208,-44.39440102941618,2,337.0
anguera,BA,-12.150285458856343,-39.245960093032245,1,99.0
angulo,PR,-23.193778863496295,-51.916279963471986,3,294.7
angustura,MG,-21.868313548258158,-42.698740442406134,1,139.0
anhandui,MS,-20.981461451885522,-54.503718322956225,1,69.0
anhembi,SP,-22.79055313296728,-48.1292283726356,1,106.9
anhumas,SP,-22.29612614613957,-51.387004974544936,1,58.99
anicuns,GO,-16.459840612028362,-49.96081462896285,8,661.9300000000001
anita garibaldi,SC,-27.687250757458745,-51.12836796676873,5,256.78
anitapolis,SC,-27.904106011201225,-49.12855017806725,2,608.99
anta,RJ,-22.18444537327552,-43.024487689835446,3,241.88
anta gorda,RS,-28.9720990314305,-52.00750426344917,4,577.7
antonina,PR,-25.43470443919635,-48.712753541824284,10,2077.57
antonina do norte,CE,-6.775232323102792,-39.98814021289837,1,76.8
antonio cardoso,BA,-12.437692684045293,-39.12045661530482,2,369.89
antonio carlos,MG,-21.321140140855793,-43.75206467047847,1,29.9
antonio carlos,SC,-27.516649881170018,-48.76884943896694,2,215.8
antonio goncalves,BA,-10.572745326309084,-40.27582593792593,1,34.9
antonio martins,RN,-6.2142660577689,-37.896717122442595,1,45.0
antonio pereira,MG,-20.28758954681794,-43.48123170237622,2,88.99000000000001
antonio prado,RS,-28.856785799862664,-51.28407511043693,5,554.2
antonio prado de minas,MG,-21.013832282687016,-42.119718442402366,3,282.0
antunes,MG,-19.919078673746107,-44.70012328311897,1,119.8
aparecida,SP,-22.851231225609038,-45.24664690995327,25,3740.96
aparecida d'oeste,SP,-20.453716066262192,-50.88276638535785,1,19.9
aparecida de goiania,GO,-16.838342751725133,-49.249193894017935,2,194.99
aparecida de goiania,GO,-16.833226611905975,-49.223291040648895,1,34.99
aparecida de goiania,GO,-16.826759426472105,-49.2857514515625,4,2388.8
aparecida de goiania,GO,-16.82599454960102,-49.25288266335554,1,420.0
aparecida de goiania,GO,-16.825125792464075,-49.24161792599853,4,396.13
aparecida de goiania,GO,-16.823089114833582,-49.234002424376285,2,550.8
aparecida de goiania,GO,-16.822735106094058,-49.24817482979011,1,120.0
aparecida de goiania,GO,-16.819400361031793,-49.31058371607391,4,388.98
aparecida de goiania,GO,-16.81553372770271,-49.23447529237231,3,209.88
aparecida de goiania,GO,-16.80650921009425,-49.30998512411221,2,116.97999999999999
aparecida de goiania,GO,-16.80068753195583,-49.244869140065255,1,199.9
aparecida de goiania,GO,-16.799345053628176,-49.315849539360634,2,175.89000000000001
aparecida de goiania,GO,-16.792611769215064,-49.27831133808283,2,279.79
aparecida de goiania,GO,-16.791034258917378,-49.24313808603426,1,210.0
aparecida de goiania,GO,-16.786551376769705,-49.327571224145316,1,66.0
aparecida de goiania,GO,-16.784626718863628,-49.29163146568625,1,13.65
aparecida de goiania,GO,-16.778832093083018,-49.27490249063375,2,628.9
aparecida de goiania,GO,-16.77649497606857,-49.33011614348685,1,54.72
aparecida de goiania,GO,-16.774789718843284,-49.34452160099674,2,343.47999999999996
aparecida de goiania,GO,-16.77318822214152,-49.29480730302569,1,129.0
aparecida de goiania,GO,-16.77245702499251,-49.31255863462465,2,415.8
aparecida de goiania,GO,-16.77138838884573,-49.25028229660642,2,129.99
aparecida de goiania,GO,-16.766552159923314,-49.33937440860811,4,888.8
aparecida de goiania,GO,-16.76213311410043,-49.29403499532152,8,995.0600000000001
aparecida de goiania,GO,-16.76188244796347,-49.259238775263746,2,203.78
aparecida de goiania,GO,-16.760988821784583,-49.33559368438868,4,949.99
